Client_1;0.00%;0.05%;1.031MiB / 1.925GiB;2;5.77kB / 666B;8.19kB / 0B;5;11.5
Gateway_1;40.40%;7.28%;143.5MiB / 1.925GiB;22;6.59kB / 836B;2.55MB / 16.4kB;5;11.5
Clients_Router_1;0.00%;0.03%;640KiB / 1.925GiB;2;16.2kB / 1.52kB;0B / 0B;5;11.5
Gateways_Router_1;0.00%;0.05%;928KiB / 1.925GiB;2;18.7kB / 1.52kB;12.3kB / 0B;5;11.5
Server;0.00%;0.06%;1.113MiB / 1.925GiB;2;10.5kB / 666B;754kB / 0B;5;11.5
Client_1;0.00%;0.05%;1.031MiB / 1.925GiB;2;6.22kB / 666B;8.19kB / 0B;12;7
Gateway_1;35.06%;7.80%;153.8MiB / 1.925GiB;22;7.32kB / 836B;2.55MB / 16.4kB;12;7
Clients_Router_1;0.00%;0.03%;640KiB / 1.925GiB;2;17.6kB / 1.52kB;0B / 0B;12;7
Gateways_Router_1;0.00%;0.05%;928KiB / 1.925GiB;2;19.8kB / 1.52kB;12.3kB / 0B;12;7
Server;0.00%;0.06%;1.113MiB / 1.925GiB;2;11.2kB / 736B;754kB / 0B;12;7
Client_1;0.00%;0.05%;1.031MiB / 1.925GiB;2;6.7kB / 736B;8.19kB / 0B;19;7.2
Gateway_1;34.81%;7.90%;155.6MiB / 1.925GiB;22;7.52kB / 836B;2.55MB / 16.4kB;19;7.2
Clients_Router_1;0.00%;0.03%;640KiB / 1.925GiB;2;18.2kB / 1.52kB;0B / 0B;19;7.2
Gateways_Router_1;0.00%;0.05%;928KiB / 1.925GiB;2;20.2kB / 1.52kB;12.3kB / 0B;19;7.2
Server;0.00%;0.06%;1.113MiB / 1.925GiB;2;11.2kB / 736B;754kB / 0B;19;7.2
Client_1;0.00%;0.05%;1.031MiB / 1.925GiB;2;6.7kB / 736B;8.19kB / 0B;26;6.1
Gateway_1;30.12%;7.94%;156.4MiB / 1.925GiB;22;7.66kB / 836B;2.55MB / 16.4kB;26;6.1
Clients_Router_1;0.00%;0.03%;640KiB / 1.925GiB;2;18.6kB / 1.52kB;0B / 0B;26;6.1
Gateways_Router_1;1.39%;0.06%;1.234MiB / 1.925GiB;2;20.6kB / 1.52kB;922kB / 0B;26;6.1
Server;0.00%;0.06%;1.113MiB / 1.925GiB;2;11.5kB / 806B;754kB / 0B;26;6.1
Client_1;0.00%;0.05%;1.031MiB / 1.925GiB;2;7.43kB / 806B;8.19kB / 0B;33;6.3
