7;1;1;1;178;success
3;1;1;1;217;success
2;1;1;1;222;success
9;1;1;1;230;success
6;1;1;1;193;success
1;1;1;1;205;success
1;1;1;2;211;success
7;1;1;2;227;success
1;1;1;3;218;success
4;1;1;1;278;success
3;1;1;2;194;success
4;1;1;2;184;success
7;1;1;3;164;success
7;1;1;4;247;success
1;1;1;4;167;success
2;1;1;2;250;success
7;1;1;5;247;success
9;1;1;2;203;success
8;1;1;1;278;success
6;1;1;2;263;success
7;1;1;6;154;success
7;1;1;7;347;success
6;1;1;3;182;success
6;1;1;4;215;success
1;1;1;5;110;success
5;1;1;1;350;success
3;1;1;3;182;success
8;1;1;2;237;success
6;1;1;5;366;success
2;1;1;3;294;success
6;1;1;6;287;success
6;1;1;7;347;success
8;1;1;3;342;success
4;1;1;3;378;success
6;1;1;8;323;success
6;1;1;9;328;success
5;1;1;2;301;success
6;1;1;10;518;success
5;1;1;3;295;success
2;1;1;4;255;success
2;1;1;5;854;success
2;1;1;6;214;success
2;1;1;7;222;success
7;1;1;8;255;success
7;1;1;9;230;success
1;1;1;6;137;success
9;1;1;3;278;success
2;1;1;8;218;success
5;1;1;4;475;success
5;1;1;5;282;success
3;1;1;4;246;success
3;1;1;5;156;success
5;1;1;6;426;success
8;1;1;4;580;success
1;1;1;7;187;success
5;1;1;7;515;success
1;1;1;8;433;success
3;1;1;6;139;success
8;1;1;5;235;success
4;1;1;4;133;success
3;1;1;7;198;success
4;1;1;5;208;success
1;1;1;9;335;success
9;1;1;4;338;success
9;1;1;5;219;success
2;1;1;9;197;success
5;1;1;8;206;success
1;1;1;10;290;success
3;1;1;8;247;success
8;1;1;6;229;success
2;1;1;10;202;success
8;1;1;7;214;success
6;1;1;11;249;success
4;1;1;6;266;success
2;1;1;11;241;success
5;1;1;9;193;success
1;1;1;11;311;success
6;1;1;12;260;success
2;1;1;12;269;success
3;1;1;9;318;success
1;1;1;12;318;success
8;1;1;8;259;success
1;1;1;13;182;success
3;1;1;10;251;success
5;1;1;10;269;success
2;1;1;13;242;success
9;1;1;6;237;success
9;1;1;7;278;success
3;1;1;11;222;success
9;1;1;8;206;success
3;1;1;12;242;success
6;1;1;13;261;success
2;1;1;14;258;success
9;1;1;9;281;success
4;1;1;7;298;success
6;1;1;14;191;success
1;1;1;14;191;success
3;1;1;13;249;success
7;1;1;10;265;success
7;1;1;11;211;success
