Client_1;0.00%;0.06%;2.387MiB / 3.83GiB;5;6.16kB / 666B;0B / 0B;5;7.3
Gateway_1;0.00%;0.07%;2.762MiB / 3.83GiB;6;6.67kB / 666B;0B / 0B;5;7.3
Clients_Router_1;0.00%;0.06%;2.406MiB / 3.83GiB;5;31.4kB / 1.33kB;0B / 0B;5;7.3
Gateways_Router_1;0.00%;0.06%;2.43MiB / 3.83GiB;5;35kB / 1.33kB;4.1kB / 0B;5;7.3
Server;21.07%;0.85%;33.41MiB / 3.83GiB;17;13.1kB / 16.2kB;0B / 4.1kB;5;7.3
Client_1;0.00%;0.06%;2.387MiB / 3.83GiB;5;6.82kB / 666B;0B / 0B;12;14.4
Gateway_1;0.00%;0.07%;2.762MiB / 3.83GiB;6;13.5kB / 666B;0B / 0B;12;14.4
Clients_Router_1;18.02%;0.24%;9.457MiB / 3.83GiB;8;63.3kB / 1.47kB;0B / 0B;12;14.4
Gateways_Router_1;55.45%;0.83%;32.43MiB / 3.83GiB;16;59.3kB / 14.8kB;4.1kB / 0B;12;14.4
Server;16.09%;0.86%;33.68MiB / 3.83GiB;18;20.3kB / 39.4kB;0B / 4.1kB;12;14.4
Client_1;0.00%;0.06%;2.387MiB / 3.83GiB;5;215kB / 736B;0B / 0B;19;10.8
Gateway_1;23.62%;0.13%;4.926MiB / 3.83GiB;8;226kB / 736B;0B / 0B;19;10.8
Clients_Router_1;19.59%;0.84%;32.85MiB / 3.83GiB;16;485kB / 418kB;0B / 0B;19;10.8
Gateways_Router_1;18.07%;0.84%;32.81MiB / 3.83GiB;16;479kB / 438kB;4.1kB / 0B;19;10.8
Server;25.95%;0.86%;33.75MiB / 3.83GiB;17;440kB / 252kB;0B / 4.1kB;19;10.8
Client_1;0.00%;0.06%;2.387MiB / 3.83GiB;5;413kB / 736B;0B / 0B;26;49.2
Gateway_1;255.75%;4.29%;168.3MiB / 3.83GiB;37;423kB / 1.08kB;0B / 16.4kB;26;49.2
Clients_Router_1;28.32%;0.84%;32.78MiB / 3.83GiB;16;874kB / 814kB;0B / 0B;26;49.2
Gateways_Router_1;29.95%;0.84%;33.11MiB / 3.83GiB;17;874kB / 831kB;4.1kB / 0B;26;49.2
Server;29.81%;0.86%;33.76MiB / 3.83GiB;17;831kB / 444kB;0B / 4.1kB;26;49.2
Client_1;20.67%;0.12%;4.68MiB / 3.83GiB;7;599kB / 806B;0B / 0B;33;25.5
Gateway_1;34.75%;6.30%;247MiB / 3.83GiB;35;611kB / 1.15kB;0B / 16.4kB;33;25.5
Clients_Router_1;20.41%;0.84%;32.83MiB / 3.83GiB;16;1.25MB / 1.18MB;0B / 0B;33;25.5
Gateways_Router_1;21.19%;0.85%;33.16MiB / 3.83GiB;17;1.25MB / 1.21MB;4.1kB / 0B;33;25.5
Server;20.55%;0.86%;33.7MiB / 3.83GiB;18;1.21MB / 635kB;0B / 4.1kB;33;25.5
Client_1;18.17%;0.80%;31.41MiB / 3.83GiB;14;774kB / 1.15kB;0B / 0B;40;24.1
Gateway_1;35.72%;6.95%;272.8MiB / 3.83GiB;35;789kB / 1.15kB;0B / 16.4kB;40;24.1
Clients_Router_1;20.07%;0.84%;33.03MiB / 3.83GiB;17;1.62MB / 1.53MB;0B / 0B;40;24.1
Gateways_Router_1;21.18%;0.84%;33.13MiB / 3.83GiB;17;1.61MB / 1.56MB;4.1kB / 0B;40;24.1
Server;19.60%;0.86%;33.7MiB / 3.83GiB;17;1.56MB / 817kB;0B / 4.1kB;40;24.1
Client_1;27.75%;0.80%;31.39MiB / 3.83GiB;15;955kB / 1.15kB;0B / 0B;47;24.6
Gateway_1;45.21%;6.94%;272.4MiB / 3.83GiB;35;964kB / 1.15kB;0B / 16.4kB;47;24.6
Clients_Router_1;31.25%;0.84%;33.1MiB / 3.83GiB;17;1.98MB / 1.9MB;0B / 0B;47;24.6
Gateways_Router_1;29.04%;0.85%;33.21MiB / 3.83GiB;17;1.97MB / 1.92MB;4.1kB / 0B;47;24.6
Server;25.74%;0.86%;33.68MiB / 3.83GiB;17;1.91MB / 994kB;0B / 4.1kB;47;24.6
Client_1;18.12%;0.80%;31.36MiB / 3.83GiB;14;1.13MB / 1.15kB;0B / 0B;55;38.5
