Client_1;0.00%;0.02%;1.566MiB / 7.473GiB;2;5.48kB / 666B;0B / 0B;6;19
Gateway_1;51.00%;2.52%;192.9MiB / 7.473GiB;22;5.31kB / 836B;44.7MB / 16.4kB;6;19
Clients_Router_1;0.00%;0.02%;1.547MiB / 7.473GiB;2;13.4kB / 1.52kB;0B / 0B;6;19
Gateways_Router_1;0.00%;0.02%;1.516MiB / 7.473GiB;2;14.9kB / 1.52kB;16.4kB / 0B;6;19
Server;0.00%;0.02%;1.785MiB / 7.473GiB;2;8.87kB / 666B;152kB / 0B;6;19
Client_1;0.00%;0.02%;1.566MiB / 7.473GiB;2;6.01kB / 736B;0B / 0B;14;14
Gateway_1;44.49%;2.47%;188.7MiB / 7.473GiB;22;5.84kB / 836B;44.7MB / 16.4kB;14;14
Clients_Router_1;0.00%;0.02%;1.547MiB / 7.473GiB;2;14.6kB / 1.52kB;0B / 0B;14;14
Gateways_Router_1;0.00%;0.02%;1.516MiB / 7.473GiB;2;16.1kB / 1.52kB;16.4kB / 0B;14;14
Server;0.00%;0.02%;1.785MiB / 7.473GiB;2;9.57kB / 736B;152kB / 0B;14;14
Client_1;0.00%;0.02%;1.566MiB / 7.473GiB;2;6.12kB / 736B;0B / 0B;22;15
Gateway_1;37.85%;2.28%;174.7MiB / 7.473GiB;22;5.95kB / 836B;44.7MB / 16.4kB;22;15
Clients_Router_1;0.00%;0.02%;1.547MiB / 7.473GiB;2;14.6kB / 1.52kB;0B / 0B;22;15
Gateways_Router_1;0.00%;0.02%;1.516MiB / 7.473GiB;2;16.1kB / 1.52kB;16.4kB / 0B;22;15
Server;0.01%;0.02%;1.785MiB / 7.473GiB;2;9.57kB / 736B;152kB / 0B;22;15
Client_1;0.00%;0.02%;1.566MiB / 7.473GiB;2;6.32kB / 736B;0B / 0B;30;14
Gateway_1;50.95%;2.09%;160.3MiB / 7.473GiB;22;6.21kB / 836B;44.7MB / 16.4kB;30;14
Clients_Router_1;0.00%;0.02%;1.547MiB / 7.473GiB;2;15.2kB / 1.52kB;0B / 0B;30;14
Gateways_Router_1;0.00%;0.02%;1.516MiB / 7.473GiB;2;16.8kB / 1.52kB;16.4kB / 0B;30;14
Server;0.01%;0.02%;1.785MiB / 7.473GiB;2;9.87kB / 806B;152kB / 0B;30;14
Client_1;0.00%;0.02%;1.566MiB / 7.473GiB;2;6.49kB / 806B;0B / 0B;37;19
Gateway_1;53.84%;1.93%;148MiB / 7.473GiB;22;6.32kB / 836B;44.7MB / 16.4kB;37;19
Clients_Router_1;0.00%;0.02%;1.547MiB / 7.473GiB;2;15.5kB / 1.52kB;0B / 0B;37;19
Gateways_Router_1;0.00%;0.02%;1.516MiB / 7.473GiB;2;16.9kB / 1.52kB;16.4kB / 0B;37;19
Server;0.00%;0.02%;1.785MiB / 7.473GiB;2;9.94kB / 806B;152kB / 0B;37;19
Client_1;0.00%;0.02%;1.566MiB / 7.473GiB;2;6.49kB / 806B;0B / 0B;45;18
Gateway_1;50.66%;1.88%;144MiB / 7.473GiB;22;6.32kB / 836B;44.7MB / 16.4kB;45;18
Clients_Router_1;0.00%;0.02%;1.547MiB / 7.473GiB;2;15.5kB / 1.52kB;0B / 0B;45;18
Gateways_Router_1;0.00%;0.02%;1.516MiB / 7.473GiB;2;16.9kB / 1.52kB;16.4kB / 0B;45;18
Server;0.00%;0.02%;1.785MiB / 7.473GiB;2;9.94kB / 806B;152kB / 0B;45;18
Client_1;0.00%;0.02%;1.566MiB / 7.473GiB;2;6.49kB / 806B;0B / 0B;53;15
Gateway_1;49.83%;1.87%;143.4MiB / 7.473GiB;22;6.39kB / 836B;44.7MB / 16.4kB;53;15
Clients_Router_1;0.00%;0.02%;1.547MiB / 7.473GiB;2;15.6kB / 1.52kB;0B / 0B;53;15
Gateways_Router_1;0.00%;0.02%;1.516MiB / 7.473GiB;2;17kB / 1.52kB;16.4kB / 0B;53;15
Server;0.00%;0.02%;1.785MiB / 7.473GiB;2;9.94kB / 806B;152kB / 0B;53;15
Client_1;0.00%;0.02%;1.566MiB / 7.473GiB;2;6.69kB / 806B;0B / 0B;61;21
